id,author,desc,sales,average,highest_price,lowest_price
CAT_000087_e137_d1,Miger,"P. a. s., signée aussi par Pierre Laurent; 1792, 1 p. in-4.","[{'date': '1891-04', 'price': 15.0}, {'date': '1885-11', 'price': 10.0}]",12.5,15.0,10.0
CAT_000131_e190_d1,Olivarius,"L. a. s., en français, à l'abbé Mercier de Saint Léger ; Paris, 19 août (1770), 2 p. 1/3 in-4, cachet.","[{'date': '1891-04', 'price': 18.0}, {'date': '1890-05', 'price': 15.0}]",16.5,18.0,15.0
CAT_000139_e170_d1,Régamey,"L. a. s., 1879, 1 p. in-18.","[{'date': '1888-08', 'price': 8.0}, {'date': '1891-04', 'price': 50.0}]",29.0,50.0,8.0
CAT_000124_e215_d1,Retz,"Let. sig. à l'abbé Chavrier; Commercy, 25 novembre 1669, 3/4 de p. in-4, cachets à ses armes avec soies. Les 2 feuillets détachés.","[{'date': '1896-04', 'price': 25.0}, {'date': '1891-04', 'price': 50.0}, {'date': '1889-05', 'price': 45.0}]",40.0,50.0,25.0
CAT_000139_e182_d1,Schiavonetti,"L. a. s.; Londres, 28 décembre 1793, 3 p. in-4. Rare.","[{'date': '1895-06', 'price': 10.0}, {'date': '1886-01', 'price': None}, {'date': '1891-04', 'price': 15.0}]",12.5,15.0,10.0
CAT_000123_e159_d1,Vanloo,"Reçu aut. sig. trois fois; Berlin, 1754-56, 1 p. in-4.","[{'date': '1894-02', 'price': 15.0}, {'date': '1891-04', 'price': 20.0}, {'date': '1889-04', 'price': 18.0}]",17.67,20.0,15.0
CAT_000139_e400_d1,Bigarré,"L. a. s. au général Lamarque ; Rennes, 1er nov. 1830, 3 p. in-fol.","[{'date': '1873-08', 'price': 8.0}, {'date': '1891-04', 'price': 20.0}]",14.0,20.0,8.0
CAT_000112_e5_d1,Albani,"L. a. s. à Dominique Canuggi, à Rome ; Bologne, 5 mars 1650, 2 p. in-fol. Déchirure dans un angle atteignant légèrement le texte.","[{'date': '1893-11', 'price': 65.0}, {'date': '1887-11', 'price': 75.0}]",70.0,75.0,65.0
CAT_000112_e11_d1,Arnal,"L. a. s., 1839, 1 p. in-8.","[{'date': '1872-08', 'price': 4.0}, {'date': '1887-11', 'price': 3.0}]",3.5,4.0,3.0
CAT_000112_e17_d1,Barbet,"L. a. s. à Mazarin ; Paris, 2 janvier 1659, 6 p. in-4.","[{'date': '1893-08', 'price': None}, {'date': '1887-11', 'price': 20.0}]",20.0,20.0,20.0
CAT_000230_e21_d1,Béranger,"L. a. s. à Louis Blanc ; Passy, 4 décembre 1841, 4 p. pl. in-8 Un peu fatiguée.","[{'date': '1887-11', 'price': 35.0}, {'date': '1895-07', 'price': 25.0}]",30.0,35.0,25.0
CAT_000155_e35_d1,Blessington,"L. a. s., en français, à la comtesse…; villa Gallo, 4 mai 1825, 2 p. 1/2 in-8. Jolie lettre.","[{'date': '1887-11', 'price': 15.0}, {'date': '1893-02', 'price': 10.0}]",12.5,15.0,10.0
CAT_000112_e42_d1,Brohan,"L. a. s. à Sauvage, 1828, 1 p. in-8. Belle lettre.","[{'date': '1888-12', 'price': 10.0}, {'date': '1887-11', 'price': 5.0}]",7.5,10.0,5.0
CAT_000112_e63_d1,Chavigny,"Pièce aut. ; 1642, 1 p. in-fol.","[{'date': '1893-05', 'price': 15.0}, {'date': '1887-11', 'price': 25.0}]",20.0,25.0,15.0
CAT_000146_e84_d1,Condé,"Pièce sig.; 1782, 1/2 p. in-fol.","[{'date': '1887-11', 'price': 5.0}, {'date': '1892-03', 'price': 20.0}]",12.5,20.0,5.0
CAT_000072_e56_d1,Dumouriez,"L. a. s. au général Arthur Dillon, à Sainte-Ménehould, (1792); 1/2 p. in-4, cachet.","[{'date': '1887-11', 'price': 40.0}, {'date': '1884-10', 'price': 20.0}]",30.0,40.0,20.0
CAT_000238_e86_d1,Epernon,"L. a. s. à M. de Poyanne; Bordeaux, 21 février 1649, 1 p. in-4, cachets et soies.","[{'date': '1887-11', 'price': 20.0}, {'date': '1896-05', 'price': 15.0}]",17.5,20.0,15.0
CAT_000112_e102_d1,Florian,"L. a. s. à M. Lambert, procureur au Châtelet; Prangins, 8 juin 1775, 1 p. 3/4 in-8.","[{'date': '1894-11', 'price': 15.0}, {'date': '1887-11', 'price': 18.0}]",16.5,18.0,15.0
CAT_000112_e103_d1,Foix,"L. a. s. à M. de Pompadour, lieutenant du roi en Limousin ; (vers 1625), 1 p. in-fol. Cachets. Légères taches. Rare.","[{'date': '1892-12', 'price': 30.0}, {'date': '1887-11', 'price': 50.0}]",40.0,50.0,30.0
CAT_000112_e106_d1,Freycinet,"L. a. s. ; Paris, 10 oct. 1820, 1 p. 1/2 in-fol.","[{'date': '1891-03', 'price': 15.0}, {'date': '1887-11', 'price': 10.0}]",12.5,15.0,10.0
CAT_000119_e135_d1,Henri,"Pièce signée sur vélin ;; Paris, 24 mars 1594, in-fol. obl.","[{'date': '1887-11', 'price': 15.0}, {'date': '1888-11', 'price': 10.0}]",12.5,15.0,10.0
CAT_000143_e188_d1,Lanfrey,"L. a. s.; (vers 1875), 3 p. in-8.","[{'date': '1887-11', 'price': 15.0}, {'date': '1891-11', 'price': 12.0}]",13.5,15.0,12.0
